company_id,reporting_year,risk_description,risk_type,likelihood_score,magnitude_score,time_horizon,prioritization_method,mitigation_plan_exists,risk_owner_function
C001,2020,Regulatory climate disclosure non-compliance,transition,5,3,short-term,expert judgement,True,finance
C001,2021,Flood exposure of financed real estate,physical,1,3,long-term,likelihood_x_magnitude,False,operations
C001,2022,Regulatory climate disclosure non-compliance,physical,5,5,short-term,expert judgement,True,risk
C001,2023,Regulatory climate disclosure non-compliance,physical,3,4,short-term,expert judgement,True,finance
C001,2024,Carbon-intensive portfolio exposure,physical,2,5,short-term,multi-factor scoring,True,risk
C002,2020,Regulatory reporting gap,transition,2,2,long-term,likelihood_x_magnitude,True,sustainability
C002,2021,Increase in catastrophe claims,transition,5,2,medium-term,multi-factor scoring,False,operations
C002,2022,Underpricing of climate-related underwriting risk,physical,5,4,short-term,likelihood_x_magnitude,True,operations
C002,2023,Increase in catastrophe claims,physical,5,5,long-term,likelihood_x_magnitude,True,risk
C002,2024,Regulatory reporting gap,physical,1,2,short-term,expert judgement,True,finance
C003,2020,Fleet transition delay,physical,4,2,long-term,multi-factor scoring,False,sustainability
C003,2021,Fuel price and carbon cost exposure,physical,4,4,short-term,likelihood_x_magnitude,False,sustainability
C003,2022,Fleet transition delay,transition,4,4,long-term,likelihood_x_magnitude,False,risk
C003,2023,Fuel price and carbon cost exposure,physical,4,3,short-term,likelihood_x_magnitude,True,sustainability
C003,2024,Fuel price and carbon cost exposure,transition,4,2,medium-term,likelihood_x_magnitude,True,sustainability
C004,2020,Transition cost from emissions regulation,physical,1,1,short-term,likelihood_x_magnitude,True,sustainability
C004,2021,Water stress affecting operations,transition,4,2,short-term,likelihood_x_magnitude,True,risk
C004,2022,Water stress affecting operations,transition,3,4,medium-term,multi-factor scoring,False,sustainability
C004,2023,Carbon-intensive production exposure,physical,2,3,short-term,multi-factor scoring,False,risk
C004,2024,Transition cost from emissions regulation,physical,3,1,long-term,expert judgement,False,finance
